appid;name;release_date;english;developer;publisher;platforms;required_age;categories;genres;steamspy_tags;achievements;positive_ratings;negative_ratings;average_playtime;median_playtime;owners;price;genresLista;genero;positiveReviewsPct;year;average_playtime_log
570;Dota 2;2013-07-09;1;Valve;Valve;"windows;mac;linux";0;"Multi-player;Co-op;Steam Trading Cards;Steam Workshop;SteamVR Collectibles;In-App Purchases;Valve Anti-Cheat enabled";"Action;Free to Play;Strategy";"Free to Play;MOBA;Strategy";0;863507;142079;23944;801;100000000-200000000;0.0;['Action', 'Free to Play', 'Strategy'];Strategy;0.8587102445738107;2013;10.083473049532534
8930;Sid Meier's Civilization® V;2010-09-23;1;"Firaxis Games;Aspyr (Mac);Aspyr (Linux)";"2K;Aspyr (Mac);Aspyr (Linux)";"windows;mac;linux";0;"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud";Strategy;"Turn-Based Strategy;Strategy;Turn-Based";286;129030;5565;4760;1797;5000000-10000000;19.99;['Strategy'];Strategy;0.958653738994762;2010;8.468002947225466
107410;Arma 3;2013-09-12;1;Bohemia Interactive;Bohemia Interactive;windows;0;"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Partial Controller Support;Steam Leaderboards;Includes level editor";"Action;Simulation;Strategy";"Simulation;Military;Multiplayer";104;105034;12524;18823;3621;2000000-5000000;29.99;['Action', 'Simulation', 'Strategy'];Strategy;0.8934653532724273;2013;9.842834805324179
222880;Insurgency;2014-01-22;1;New World Interactive;New World Interactive;"windows;mac;linux";0;"Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Includes level editor";"Action;Indie;Strategy";"FPS;Realistic;Tactical";100;92355;9570;712;245;2000000-5000000;6.99;['Action', 'Indie', 'Strategy'];Strategy;0.9061074319352465;2014;6.568077911411976
255710;Cities: Skylines;2015-03-10;1;Colossal Order Ltd.;Paradox Interactive;"windows;mac;linux";0;"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor";"Simulation;Strategy";"City Builder;Simulation;Building";97;67553;6005;3225;444;5000000-10000000;22.99;['Simulation', 'Strategy'];Strategy;0.9183637401778189;2015;8.078688229229872
251570;7 Days to Die;2013-12-13;1;The Fun Pimps;The Fun Pimps Entertainment LLC;"windows;mac;linux";0;"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Includes level editor";"Nudity;Violent;Gore;Action;Adventure;Indie;RPG;Simulation;Strategy;Early Access";"Early Access;Survival;Zombies";43;60718;16905;2953;574;2000000-5000000;18.99;['Nudity', 'Violent', 'Gore', 'Action', 'Adventure', 'Indie', 'RPG', 'Simulation', 'Strategy', 'Early Access'];Strategy;0.7822166110560015;2013;7.990576881743923
244850;Space Engineers;2019-02-28;1;Keen Software House;Keen Software House;windows;0;"Single-player;Multi-player;Online Multi-Player;Co-op;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor";"Action;Indie;Simulation;Strategy";"Space;Sandbox;Building";27;60221;9609;3739;1147;2000000-5000000;15.49;['Action', 'Indie', 'Simulation', 'Strategy'];Strategy;0.862394386366891;2019;8.226573474977114
221380;Age of Empires II HD;2013-04-09;1;"Skybox Labs;Hidden Path Entertainment;Ensemble Studios;Forgotten Empires";Microsoft Studios;windows;0;"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor";Strategy;"Strategy;RTS;Multiplayer";294;54090;3178;1569;619;5000000-10000000;14.99;['Strategy'];Strategy;0.9445065306977719;2013;7.358193752733032
427520;Factorio;2016-02-25;1;Wube Software LTD.;Wube Software LTD.;"windows;mac;linux";0;"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Includes level editor";"Casual;Indie;Simulation;Strategy;Early Access";"Early Access;Base-Building;Resource Management";38;47918;723;10087;6880;1000000-2000000;21.0;['Casual', 'Indie', 'Simulation', 'Strategy', 'Early Access'];Strategy;0.9851359963816534;2016;9.219002745054835
305620;The Long Dark;2017-08-01;1;Hinterland Studio Inc.;Hinterland Studio Inc.;"windows;mac;linux";0;"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";"Adventure;Indie;Simulation;Strategy";"Survival;Open World;Exploration";40;45856;4298;760;227;1000000-2000000;23.79;['Adventure', 'Indie', 'Simulation', 'Strategy'];Strategy;0.914303943852933;2017;6.633318433280377
435150;Divinity: Original Sin 2 - Definitive Edition;2017-09-14;1;Larian Studios;Larian Studios;"windows;mac";0;"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Includes level editor";"Adventure;RPG;Strategy";"RPG;Turn-Based;Story Rich";97;44145;2464;2938;1953;2000000-5000000;29.99;['Adventure', 'RPG', 'Strategy'];Strategy;0.9471346735609003;2017;7.9854843567338225
